id,category,pas1 parent,pas2 parent,pas1 child,pas2 child,gap1,gap2,gap1 percentage,gap2 percentage,diffrence vote in parent,diffrence vote in child,Path Parent
928130,kec,916,,916,,0,,0%,#DIV/0!,916,916,78203/81007
74229,kec,2889,2062,2889,3738,0,-1676,0%,-81%,827,-849,72551/74179
41987,kel,7950,2797,7995,2799,-45,-2,-1%,0%,,,41863/41965/41984
41313,kel,3561,1746,3541,1788,20,-42,1%,-2%,,,32676/41165/41309
80212,kel,370,20,368,20,2,0,1%,0%,,,78203/80144/80204
82838,kel,187,6,188,6,-1,0,-1%,0%,,,81877/82724/82835
6081,kec,599,570,599,573,0,-3,0%,-1%,29,26,1/5920
78897,kec,4081,581,4081,584,0,-3,0%,-1%,3500,3497,78203/78862
9,kec,1517,12582,1517,12623,0,-41,0%,0%,-11065,-11106,1/2
56731,kel,200,43,201,42,-1,1,-1%,2%,,,55065/56671/56724
77436,kec,3847,1856,3847,1852,0,4,0%,0%,1991,1995,77085/77364
29825,kec,15770,7519,15770,7529,0,-10,0%,0%,8251,8241,26141/29369
23716,kec,5909,2988,5909,2987,0,1,0%,0%,2921,2922,22328/23460
62902,kec,3017,12003,3017,12002,0,1,0%,0%,-8986,-8985,61965/62861
29344,kec,7889,12384,7889,12385,0,-1,0%,0%,-4495,-4496,26141/28960
41972,kel,4594,2071,4608,2084,-14,-13,0%,-1%,,,41863/41965/41969
42261,kel,15805,7179,15760,7161,45,18,0%,0%,,,41863/42221/42259
13320,kel,355,3905,356,3860,-1,45,0%,1%,,,12920/13317/13318
26082,kel,6397,12699,6380,12693,17,6,0%,0%,,,25823/26065/26081
62432,kec,8346,12981,8346,12980,0,1,0%,0%,-4635,-4634,61965/62333
41686,kec,80542,25725,80563,25733,-21,-8,0%,0%,54817,54830,32676/41585
42052,kel,13946,5947,13981,5981,-35,-34,0%,-1%,,,41863/41965/42048
50567,kel,858,2091,860,2091,-2,0,0%,0%,,,42385/50532/50551
7115,kel,874,31,876,36,-2,-5,0%,-16%,,,6728/7013/7112
28514,kel,441,1076,440,1076,1,0,0%,0%,,,26141/28182/28508
13323,kel,2246,17038,2241,17012,5,26,0%,0%,,,12920/13317/13322
50687,kec,2275,48937,2276,48936,-1,1,0%,0%,-46662,-46660,42385/50532
41985,kel,6396,2667,6410,2680,-14,-13,0%,0%,,,41863/41965/41984
31347,kel,5161,7909,5171,7898,-10,11,0%,0%,,,26141/31345/31346
41188,kec,33720,19352,33736,19393,-16,-41,0%,0%,14368,14343,32676/41165
82298,kec,6029,45,6032,42,-3,3,0%,7%,5984,5990,81877/928081
76388,kel,566,281,565,279,1,2,0%,1%,,,76096/76284/83815
32422,kec,57717,61674,57747,61674,-30,0,0%,0%,-3957,-3927,26141/32403
930830,kel,1347,19,1345,19,2,0,0%,0%,,,55065/57935/57956
929143,kel,2037,323,2034,323,3,0,0%,0%,,,81877/83289/928196
83650,kec,1838,,1839,,-1,,0%,#DIV/0!,1838,1839,78203/81261
47156,kel,2277,976,2280,973,-3,3,0%,0%,,,42385/47001/47154
13391,kel,777,6352,776,6409,1,-57,0%,-1%,,,12920/13317/13385
13328,kec,1822,16509,1823,16556,-1,-47,0%,0%,-14687,-14733,12920/13317
77942,kec,1777,2056,1778,2056,-1,0,0%,0%,-279,-278,77085/928079
